Attribute Name,Data Type,Is archived?,Archiver config
State,DevState (DevEnum),Yes,Change Event
Status,DevString,No,
activationTime,0,No,
adminMode,AdminMode (DevEnum),No,
buildState,DevString,No,
commandedObsState,,No,
commandedState,None,No,
configurationDelayExpected,0,No,
configurationProgress,0,No,
controlMode,0,No,
healthState,HealthState (DevEnum),Yes,Change Event
internalModel,DevString,No,
isAdminModeEnabled,Boolean,No,
isSubarrayAvailable,Boolean,Yes,Change Event
lastDeviceInfoChanged,,No,
loggingLevel,5,No,
obsMode,ObsMode (DevEnum),No,
obsState,ObsState (DevEnum),Yes,Change Event
sbID,DevString,No,
scanDuration,,No,
scanID,DevString,No,
simulationMode,SimulationMode (DevEnum),No,
testMode,TestMode (DevEnum),No,
transformedInternalModel,DevString,No,
versionId,DevString,No,
_lrcEvent,,No,
assignedResources,,No,
configuredCapabilities,,No,
loggingTargets,,No,
longRunningCommandIDsInQueue,,No,
longRunningCommandInProgress,,No,
longRunningCommandProgress,,No,
longRunningCommandResult,,No,
longRunningCommandStatus,,No,
longRunningCommandsInQueue,,No,
lrcExecuting,,No,
lrcFinished,,No,
lrcProtocolVersions,,No,
lrcQueue,,No,
